Trial number ,AlienImageFile,ItemImageFile,Item,Word,Individual identity,Species ,Outfit,Variant
1,A1_3.png,Singular1.png,kabuq,Singular1,A1,A,3,
2,A2_3.png,Singular2.png,bupod,Singular2,A2,A,3,
3,A3_3.png,Singular3.png,hasot,Singular3,A3,A,3,
4,A4_3.png,Singular4.png,wejun,Singular4,A4,A,3,
5,A1_3.png,Singular5.png,kenig,Singular5,A1,A,3,
6,A2_3.png,Singular6.png,tulimur,Singular6,A2,A,3,
7,A3_3.png,Singular7.png,petilet,Singular7,A3,A,3,
8,A4_3.png,Singular8.png,ropuko,Singular8,A4,A,3,
9,A1_3.png,Singular9.png,luragur,Singular9,A1,A,3,
10,A2_3.png,Singular10.png,gunawul,Singular10,A2,A,3,
11,A3_3.png,Singular1.png,kabuq,Singular1,A3,A,3,
12,A4_3.png,Singular2.png,bupod,Singular2,A4,A,3,
13,A1_3.png,Singular3.png,hasot,Singular3,A1,A,3,
14,A2_3.png,Singular4.png,wejun,Singular4,A2,A,3,
15,A3_3.png,Singular5.png,kenig,Singular5,A3,A,3,
16,A4_3.png,Singular6.png,tulimur,Singular6,A4,A,3,
17,A1_3.png,Singular7.png,petilet,Singular7,A1,A,3,
18,A2_3.png,Singular8.png,ropuko,Singular8,A2,A,3,
19,A3_3.png,Singular9.png,luragur,Singular9,A3,A,3,
20,A4_3.png,Singular10.png,gunawul,Singular10,A4,A,3,
21,A1_3.png,Plural1.png,kabuqgok,Plural1,A1,A,3,1
22,A2_3.png,Plural2.png,bupodgok,Plural2,A2,A,3,1
23,A3_3.png,Plural3.png,hasotgok,Plural3,A3,A,3,1
24,A4_3.png,Plural4.png,wejungok,Plural4,A4,A,3,1
25,A1_3.png,Plural5.png,gunawulgok,Plural5,A1,A,3,1
26,A2_3.png,Plural6.png,tulimurgok,Plural6,A2,A,3,1
27,A3_3.png,Plural7.png,petiletgok,Plural7,A3,A,3,1
28,A4_3.png,Plural8.png,ropukogok,Plural8,A4,A,3,1
29,A1_3.png,Plural9.png,luragurgok,Plural9,A1,A,3,1
30,A2_3.png,Plural10.png,gunawulgok,Plural10,A2,A,3,1
31,A3_3.png,Plural1.png,kabuqdem,Plural1,A3,A,3,2
32,A4_3.png,Plural2.png,bupoddem,Plural2,A4,A,3,2
33,A1_3.png,Plural3.png,hasotdem,Plural3,A1,A,3,2
34,A2_3.png,Plural4.png,wejundem,Plural4,A2,A,3,2
35,A3_3.png,Plural5.png,kenigdem,Plural5,A3,A,3,2
36,A4_3.png,Plural6.png,tulimurdem,Plural6,A4,A,3,2
37,A1_3.png,Plural7.png,petiletdem,Plural7,A1,A,3,2
38,A2_3.png,Plural8.png,ropukodem,Plural8,A2,A,3,2
39,A3_3.png,Plural9.png,luragurdem,Plural9,A3,A,3,2
40,A4_3.png,Plural10.png,gunawuldem,Plural10,A4,A,3,2
41,B1_3.png,Singular1.png,kabuq,Singular1,B1,B,3,
42,B2_3.png,Singular2.png,bupod,Singular2,B2,B,3,
43,B3_3.png,Singular3.png,hasot,Singular3,B3,B,3,
44,B4_3.png,Singular4.png,wejun,Singular4,B4,B,3,
45,B1_3.png,Singular5.png,kenig,Singular5,B1,B,3,
46,B2_3.png,Singular6.png,tulimur,Singular6,B2,B,3,
47,B3_3.png,Singular7.png,petilet,Singular7,B3,B,3,
48,B4_3.png,Singular8.png,ropuko,Singular8,B4,B,3,
49,B1_3.png,Singular9.png,luragur,Singular9,B1,B,3,
50,B2_3.png,Singular10.png,gunawul,Singular10,B2,B,3,
51,B3_3.png,Singular1.png,kabuq,Singular1,B3,B,3,
52,B4_3.png,Singular2.png,bupod,Singular2,B4,B,3,
53,B1_3.png,Singular3.png,hasot,Singular3,B1,B,3,
54,B2_3.png,Singular4.png,wejun,Singular4,B2,B,3,
55,B3_3.png,Singular5.png,kenig,Singular5,B3,B,3,
56,B4_3.png,Singular6.png,tulimur,Singular6,B4,B,3,
57,B1_3.png,Singular7.png,petilet,Singular7,B1,B,3,
58,B2_3.png,Singular8.png,ropuko,Singular8,B2,B,3,
59,B3_3.png,Singular9.png,luragur,Singular9,B3,B,3,
60,B4_3.png,Singular10.png,gunawul,Singular10,B4,B,3,
61,B1_3.png,Plural1.png,kabuqgok,Plural1,B1,B,3,1
62,B2_3.png,Plural2.png,bupodgok,Plural2,B2,B,3,1
63,B3_3.png,Plural3.png,hasotgok,Plural3,B3,B,3,1
64,B4_3.png,Plural4.png,wejungok,Plural4,B4,B,3,1
65,B1_3.png,Plural5.png,gunawulgok,Plural5,B1,B,3,1
66,B2_3.png,Plural6.png,tulimurgok,Plural6,B2,B,3,1
67,B3_3.png,Plural7.png,petiletgok,Plural7,B3,B,3,1
68,B4_3.png,Plural8.png,ropukogok,Plural8,B4,B,3,1
69,B1_3.png,Plural9.png,luragurgok,Plural9,B1,B,3,1
70,B2_3.png,Plural10.png,gunawulgok,Plural10,B2,B,3,1
71,B3_3.png,Plural1.png,kabuqdem,Plural1,B3,B,3,2
72,B4_3.png,Plural2.png,bupoddem,Plural2,B4,B,3,2
73,B1_3.png,Plural3.png,hasotdem,Plural3,B1,B,3,2
74,B2_3.png,Plural4.png,wejundem,Plural4,B2,B,3,2
75,B3_3.png,Plural5.png,kenigdem,Plural5,B3,B,3,2
76,B4_3.png,Plural6.png,tulimurdem,Plural6,B4,B,3,2
77,B1_3.png,Plural7.png,petiletdem,Plural7,B1,B,3,2
78,B2_3.png,Plural8.png,ropukodem,Plural8,B2,B,3,2
79,B3_3.png,Plural9.png,luragurdem,Plural9,B3,B,3,2
80,B4_3.png,Plural10.png,gunawuldem,Plural10,B4,B,3,2